Gene.Symbol	Cancer.Normalized	Role	Citation.Count	Citation.Sum	Role.in.Cancer
ACVRL1	pancreatic carcinoma	Oncogene	1	1	Oncogene
ACY1	lung small cell carcinoma, renal cell carcinoma	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
ADA	lymphoma	Oncogene	2	2	Oncogene
ADAM10	acute T cell leukemia	Driver	1	1	Driver
ADAM11	breast cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ADAM12	lung cancer	Oncogene	1	1	Oncogene
ADAM17	malignant glioma, glioblastoma multiforme, breast cancer	Oncogene, Oncogene, Driver	1, 1, 1	3	Dualrole
ADAM19	prostate cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ADAM23	stomach cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ADAM28	pancreatic cancer	Oncogene	1	1	Oncogene
ADAM33	invasive lobular carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
ADAM9	hepatocellular carcinoma	Oncogene	2	2	Oncogene
ADAMTS1	breast carcinoma, prostate cancer	Tumor_Suppressor, Tumor_Suppressor	2, 1	3	Tumorsuppressor
ADAMTS12	colorectal cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ADAMTS15	colorectal cancer, breast carcinoma, breast cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	1, 1, 1	3	Tumorsuppressor
ADAMTS18	colorectal cancer, breast cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
ADAMTS8	stomach cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ADAMTS9	nasopharynx carcinoma, colorectal cancer, esophagus squamous cell carcinoma, stomach cancer, breast cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	2, 2, 2, 2, 1	9	Tumorsuppressor
ADAR	chronic myeloid leukemia, esophagus squamous cell carcinoma, cervical squamous cell carcinoma	Oncogene, Oncogene, Oncogene	1, 1, 1	3	Oncogene
ADARB1	esophagus squamous cell carcinoma, lung cancer, stomach cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	1, 1, 1	3	Tumorsuppressor
ADARB2	malignant glioma	Tumor_Suppressor	1	1	Tumorsuppressor
ADAT2	pancreatic cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ADCY9	colon cancer	Oncogene	1	1	Oncogene
ADCYAP1	medulloblastoma, lung small cell carcinoma, osteosarcoma, medulloblastoma	Tumor_Suppressor, Oncogene, Oncogene, Oncogene	1, 1, 1, 1	4	Dualrole
ADD2	lymphoma	Oncogene	1	1	Oncogene
ADGB	malignant glioma	Oncogene	1	1	Oncogene
ADGRA3	myeloid sarcoma	Oncogene	1	1	Oncogene
ADGRB1	glioblastoma multiforme	Tumor_Suppressor	2	2	Tumorsuppressor
ADGRF1	prostate cancer, lung cancer, hepatocellular carcinoma, malignant glioma, leukemia	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene	4, 2, 1, 1, 1	9	Oncogene
ADGRG1	melanoma	Tumor_Suppressor	1	1	Tumorsuppressor
ADGRG2	endometrial cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ADGRL1	breast cancer	Driver	1	1	Driver
ADHFE1	breast cancer	Oncogene	1	1	Oncogene
ADIPOQ	breast cancer, colon cancer, liver cancer, intestinal cancer	Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene	2, 1, 1, 1	5	Dualrole
ADM	pancreatic ductal adenocarcinoma, pancreatic cancer	Oncogene, Driver	1, 1	2	Dualrole
ADORA1	colon cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ADPRH	lung adenocarcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
ADRM1	ovarian cancer, ovarian cancer	Oncogene, Driver	2, 1	3	Dualrole
ADSL	breast cancer	Oncogene	1	1	Oncogene
AEBP1	stomach cancer, malignant glioma	Oncogene, Driver	1, 1	2	Dualrole
AFAP1	nasopharynx carcinoma, colorectal cancer, hepatocellular carcinoma, cholangiocarcinoma, pancreatic ductal adenocarcinoma, gallbladder cancer, esophageal carcinoma	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene	1, 1, 1, 1, 1, 1, 1	7	Oncogene
AFAP1L1	lung non-small cell carcinoma, lung cancer	Oncogene, Oncogene	1, 1	2	Oncogene
AFAP1L2	gastrointestinal system cancer	Oncogene	1	1	Oncogene
AFDN	acute myeloid leukemia, myeloid leukemia	Oncogene, Oncogene	1, 1	2	Oncogene
AFF1	acute lymphocytic leukemia, acute leukemia, leukemia, childhood acute lymphocytic leukemia, acute lymphocytic leukemia, leukemia	Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver	2, 1, 1, 1, 1, 1	7	Dualrole
AFF3	adrenocortical carcinoma	Oncogene	1	1	Oncogene
AFP	hepatocellular carcinoma, liver carcinoma	Oncogene, Driver	1, 1	2	Dualrole
AGAP2	glioblastoma multiforme, prostate cancer	Oncogene, Oncogene	1, 1	2	Oncogene
AGER	lung cancer, cervical squamous cell carcinoma, pancreatic cancer	Tumor_Suppressor, Oncogene, Oncogene	1, 1, 1	3	Dualrole
AGFG1	colorectal adenocarcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
AGK	malignant glioma, breast cancer	Oncogene, Oncogene	1, 1	2	Oncogene
AGL	urinary bladder cancer, urinary bladder cancer	Driver, Tumor_Suppressor	3, 1	4	Dualrole
AGO1	colon cancer	Oncogene	1	1	Oncogene
AGO2	colon cancer	Oncogene	1	1	Oncogene
AGPS	malignant glioma	Oncogene	1	1	Oncogene
AGR2	lung non-small cell carcinoma, head and neck squamous cell carcinoma, esophagus adenocarcinoma, cervical cancer, breast cancer, prostate cancer, luminal breast carcinoma	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene	2, 1, 1, 1, 1, 1, 1	8	Oncogene
AGRN	liver carcinoma, hepatocellular carcinoma, liver cancer, ovarian cancer, oral squamous cell carcinoma	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene	1, 1, 1, 1, 1	5	Oncogene
AGTR1	head and neck squamous cell carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
AGXT	chronic myeloid leukemia	Oncogene	3	3	Oncogene
AHI1	B-cell lymphoma, leukemia, cutaneous T cell lymphoma, lymphoma	Oncogene, Oncogene, Oncogene, Oncogene	1, 1, 1, 1	4	Oncogene
AHNAK	breast cancer, glioblastoma multiforme, lung cancer, pancreatic adenocarcinoma	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Driver	2, 1, 1, 1	5	Dualrole
AHNAK2	clear cell renal cell carcinoma	Oncogene	1	1	Oncogene
AHR	breast cancer, liver cancer, neuroblastoma, retinoblastoma, glioblastoma multiforme, breast cancer, colon carcinoma, prostate cancer, breast carcinoma, fibrosarcoma, ovarian cancer, nephroblastoma, colon carcinoma, breast carcinoma, melanoma, breast cancer	Oncogene, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Driver	4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	20	Dualrole
AHRR	gastric adenocarcinoma, breast cancer, stomach cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	1, 1, 1	3	Tumorsuppressor
AICDA	diffuse large B-cell lymphoma, B-cell lymphoma	Oncogene, Driver	1, 1	2	Dualrole
AIM2	melanoma, lung non-small cell carcinoma, melanoma	Tumor_Suppressor, Oncogene, Oncogene	7, 1, 1	9	Dualrole
AIP	pituitary cancer	Tumor_Suppressor	2	2	Tumorsuppressor
AIRE	thymoma	Oncogene	1	1	Oncogene
AJAP1	malignant glioma, hepatocellular carcinoma, esophagus squamous cell carcinoma, breast cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	3, 2, 2, 1	8	Tumorsuppressor
AJUBA	esophagus squamous cell carcinoma, lung small cell carcinoma, colorectal cancer, skin squamous cell carcinoma, pancreatic cancer	Oncogene, Tumor_Suppressor, Oncogene, Oncogene, Oncogene	2, 1, 1, 1, 1	6	Dualrole
AK4	lung adenocarcinoma	Driver	1	1	Driver
AKAP12	hepatocellular carcinoma, liver cancer, meningioma, stomach cancer, prostate cancer, colorectal carcinoma, liver cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene	1, 1, 1, 1, 1, 1, 1	7	Dualrole
AKAP13	myeloid leukemia, prostate cancer	Oncogene, Oncogene	1, 1	2	Oncogene
AKIP1	esophagus squamous cell carcinoma, breast cancer	Oncogene, Oncogene	1, 1	2	Oncogene
AKR1B10	breast cancer	Oncogene	1	1	Oncogene
AKR1C1	lung non-small cell carcinoma	Driver	1	1	Driver
AKR1C3	acute T cell leukemia, breast cancer, prostate cancer	Oncogene, Oncogene, Driver	1, 1, 1	3	Dualrole
AKR7A3	hepatocellular carcinoma	Tumor_Suppressor	1	1	Tumorsuppressor
AKT1	breast cancer, breast cancer, prostate cancer, lung non-small cell carcinoma, prostate cancer, liver cancer, ovarian cancer, melanoma, malignant glioma, pancreatic cancer, thyroid gland cancer, thymus lymphoma, malignant glioma, melanoma, multiple myeloma, head and neck squamous cell carcinoma, cervical cancer, thymoma, glioblastoma multiforme, leukemia, glioblastoma multiforme, peripheral T-cell lymphoma, islet cell tumor, breast cancer, colorectal cancer, T-cell leukemia, hepatocellular carcinoma, acute T cell leukemia, meningioma, pancreatic ductal adenocarcinoma, squamous cell carcinoma, stomach cancer, peripheral T-cell lymphoma, acute T cell leukemia, head and neck squamous cell carcinoma, lung cancer, lymphoma, retinoblastoma, stomach cancer, gastrointestinal stromal tumor, skin melanoma, Hodgkin's lymphoma, chronic myeloid leukemia, neuroblastoma, retinoblastoma, stomach carcinoma, lung small cell carcinoma, biliary tract cancer, clear cell renal cell carcinoma, ovarian carcinoma, thyroid gland papillary carcinoma, gastric adenocarcinoma, skin carcinoma, Ewing sarcoma, fibrosarcoma, gastrointestinal system cancer, invasive ductal carcinoma, kidney cancer, prostate adenocarcinoma, neuroendocrine tumor, colon carcinoma, lung cancer, chronic lymphocytic leukemia, prolymphocytic leukemia, myeloid neoplasm, luminal breast carcinoma, lymphoma, well-differentiated liposarcoma, breast carcinoma, thymoma, astrocytoma, ovarian cancer, endometrial cancer, thymus lymphoma, acute promyelocytic leukemia, diffuse large B-cell lymphoma	Oncogene, Driver, Driver, Oncogene, Oncogene, Driver, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Driver, Driver, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Driver, Driver, Driver, Driver, Driver, Driver, Driver	12, 11, 9, 7, 7, 7, 6, 5, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	181	Dualrole
AKT2	stomach cancer, colorectal cancer, lung non-small cell carcinoma, neuroblastoma, pancreatic adenocarcinoma, malignant glioma, glioblastoma multiforme, ovarian cancer, colon cancer, pancreatic cancer, thyroid gland cancer, breast cancer, colon carcinoma, lung cancer, lymphoma, acute T cell leukemia, breast cancer, lung cancer, lymphoma	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Driver, Driver	2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	20	Dualrole
AKT3	colorectal cancer, malignant glioma, glioblastoma multiforme, breast cancer, melanoma, breast cancer, adenoid cystic carcinoma	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene, Driver	1, 1, 1, 1, 1, 1, 1	7	Dualrole
ALCAM	colorectal cancer	Oncogene	1	1	Oncogene
ALDH1A1	multiple myeloma, malignant glioma, lung non-small cell carcinoma	Oncogene, Oncogene, Driver	1, 1, 1	3	Dualrole
ALDH1A2	prostate cancer, ovarian carcinoma	Tumor_Suppressor, Tumor_Suppressor	10, 1	11	Tumorsuppressor
ALDH7A1	pancreatic ductal adenocarcinoma	Oncogene	1	1	Oncogene
ALDOA	pancreatic cancer, pancreatic ductal adenocarcinoma, lung cancer	Oncogene, Oncogene, Oncogene	3, 1, 1	5	Oncogene
ALDOC	glioblastoma multiforme	Tumor_Suppressor	1	1	Tumorsuppressor
ALG1	breast cancer	Oncogene	1	1	Oncogene
ALG2	glioblastoma multiforme	Tumor_Suppressor	1	1	Tumorsuppressor
ALK	lung non-small cell carcinoma, lung non-small cell carcinoma, anaplastic large cell lymphoma, neuroblastoma, lung cancer, neuroblastoma, lung cancer, lymphoma, lung adenocarcinoma, inflammatory myofibroblastic tumor, lymphoma, reticulosarcoma, lung adenocarcinoma, peripheral T-cell lymphoma, thyroid gland cancer, Hodgkin's lymphoma, non-Hodgkin lymphoma, diffuse large B-cell lymphoma, peripheral T-cell lymphoma, anaplastic large cell lymphoma, lung cancer, chronic myeloid leukemia, B-cell lymphoma, embryonal cancer, lung small cell carcinoma, mesenchymal cell neoplasm, embryonal rhabdomyosarcoma, hematologic cancer, myeloproliferative neoplasm, melanoma, breast cancer, leukemia, thymus lymphoma, colorectal carcinoma, colon cancer, breast cancer, differentiated thyroid gland carcinoma, inflammatory myofibroblastic tumor, diffuse large B-cell lymphoma	Oncogene, Driver, Oncogene, Oncogene, Driver, Driver, Oncogene, Oncogene, Driver, Oncogene, Driver, Oncogene, Oncogene, Oncogene, Driver, Oncogene, Oncogene, Oncogene, Driver, Driver, Tumor_Suppressor, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver, Driver, Driver, Driver, Driver	102, 56, 43, 28, 27, 22, 18, 16, 8, 6, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	371	Dualrole
ALKBH3	breast cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ALKBH5	breast cancer, glioblastoma multiforme, ovarian carcinoma, malignant glioma, brain cancer	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene	3, 2, 1, 1, 1	8	Oncogene
ALLC	chronic lymphocytic leukemia	Driver	1	1	Driver
ALOX15	colon cancer, colorectal cancer, prostate cancer, intestinal cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	2, 1, 1, 1	5	Tumorsuppressor
ALOX15B	prostate carcinoma, prostate cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
ALOX5	pancreatic carcinoma, prostate cancer	Oncogene, Oncogene	1, 1	2	Oncogene
ALPK1	malignant spiradenoma	Driver	1	1	Driver
ALPP	choriocarcinoma	Oncogene	1	1	Oncogene
ALX4	breast cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ALYREF	oral squamous cell carcinoma	Oncogene	1	1	Oncogene
AMACR	prostate cancer, gastrointestinal stromal tumor, kidney cancer	Oncogene, Oncogene, Oncogene	2, 1, 1	4	Oncogene
AMBN	osteosarcoma	Tumor_Suppressor	1	1	Tumorsuppressor
AMER1	nephroblastoma, colorectal cancer, kidney cancer, colon cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	12, 1, 1, 1	15	Tumorsuppressor
AMFR	liver carcinoma, glioblastoma multiforme	Tumor_Suppressor, Oncogene	1, 1	2	Dualrole
AMH	ovarian cancer	Tumor_Suppressor	1	1	Tumorsuppressor
AMOT	lung cancer, ovarian cancer, breast cancer, liver carcinoma, osteosarcoma, breast cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Oncogene, Oncogene, Oncogene	2, 1, 1, 1, 1, 1	7	Dualrole
AMOTL1	breast cancer, cervical cancer, glioblastoma multiforme	Oncogene, Oncogene, Oncogene	3, 2, 1	6	Oncogene
AMOTL2	glioblastoma multiforme, glioblastoma multiforme, colon cancer, breast cancer	Tumor_Suppressor, Oncogene, Oncogene, Oncogene	1, 1, 1, 1	4	Dualrole
ANAPC11	lung adenocarcinoma	Oncogene	1	1	Oncogene
ANG	retinoblastoma, pancreatic cancer, lung non-small cell carcinoma	Tumor_Suppressor, Oncogene, Driver	1, 1, 1	3	Dualrole
ANGPT1	lung cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ANGPTL1	breast cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ANGPTL2	ovarian cancer, malignant glioma, lung cancer	Tumor_Suppressor, Oncogene, Driver	2, 1, 1	4	Dualrole
ANGPTL4	stomach cancer, breast cancer	Tumor_Suppressor, Driver	2, 1	3	Dualrole
ANKDD1A	glioblastoma multiforme	Tumor_Suppressor	1	1	Tumorsuppressor
ANKH	lung small cell carcinoma	Oncogene	1	1	Oncogene
ANKHD1	leukemia	Oncogene	1	1	Oncogene
ANKRD11	breast cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ANKRD18A	lung cancer	Oncogene	1	1	Oncogene
ANKRD22	colorectal cancer, prostate cancer, lung non-small cell carcinoma	Tumor_Suppressor, Tumor_Suppressor, Oncogene	1, 1, 1	3	Dualrole
ANKRD36B	retinoblastoma	Tumor_Suppressor	1	1	Tumorsuppressor
ANKRD40CL	stomach cancer	Oncogene	1	1	Oncogene
ANKRD49	malignant glioma	Oncogene	1	1	Oncogene
ANLN	pancreatic cancer	Oncogene	1	1	Oncogene
ANO1	breast cancer, esophagus squamous cell carcinoma, head and neck squamous cell carcinoma	Tumor_Suppressor, Oncogene, Driver	1, 1, 1	3	Dualrole
ANOS1	liver cancer	Tumor_Suppressor	1	1	Tumorsuppressor
ANP32A	colon cancer, breast cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
ANP32B	breast cancer	Oncogene	1	1	Oncogene
ANP32C	pancreatic cancer, breast cancer, prostate adenocarcinoma, prostate cancer	Oncogene, Oncogene, Oncogene, Oncogene	2, 2, 1, 1	6	Oncogene
ANP32D	prostate adenocarcinoma	Oncogene	1	1	Oncogene
ANPEP	malignant glioma	Oncogene	1	1	Oncogene
ANTXR2	malignant glioma	Oncogene	2	2	Oncogene
ANXA1	head and neck squamous cell carcinoma, breast cancer, penile cancer	Tumor_Suppressor, Oncogene, Oncogene	2, 2, 1	5	Dualrole
ANXA10	colorectal cancer, lung cancer, stomach cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	1, 1, 1	3	Tumorsuppressor
ANXA11	stomach cancer	Oncogene	1	1	Oncogene
ANXA2	glioblastoma multiforme, ovarian cancer, nasopharynx carcinoma, hepatocellular carcinoma, malignant glioma, breast cancer, esophagus squamous cell carcinoma	Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Oncogene, Driver	2, 2, 1, 1, 1, 1, 1	9	Dualrole
ANXA3	colorectal cancer	Oncogene	1	1	Oncogene
ANXA4	pancreatic cancer, prostate cancer	Tumor_Suppressor, Tumor_Suppressor	1, 1	2	Tumorsuppressor
ANXA6	breast cancer, stomach cancer, melanoma, skin cancer	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	3, 3, 2, 1	9	Tumorsuppressor
ANXA7	prostate cancer, glioblastoma multiforme, liver carcinoma, melanoma	Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	9, 3, 1, 1	14	Tumorsuppressor
ANXA9	stomach cancer	Tumor_Suppressor	1	1	Tumorsuppressor
APAF1	lung non-small cell carcinoma, retinoblastoma, melanoma, breast cancer	Oncogene, Tumor_Suppressor, Tumor_Suppressor, Tumor_Suppressor	2, 1, 1, 1	5	Dualrole
