OriFull	OriSimp	mirbase_accession	version_6_0	version_7_0	version_7_1	version_8_0	version_8_1	version_8_2	version_9_0	version_9_1	version_9_2	version_10_0	version_10_1	version_11	version_12	version_13	version_14	version_15	version_16	version_17	version_18	version_19	version_20	version_21	finalname
hsa-miR-363-001271	hsa-miR-363	MIMAT0000707	NA	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363	hsa-miR-363-3p	hsa-miR-363-3p	hsa-miR-363-3p	hsa-miR-363-3p	hsa-miR-363-3p
hsa-miR-365-001020	hsa-miR-365	MIMAT0000710	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365	hsa-miR-365a-3p	hsa-miR-365a-3p	hsa-miR-365a-3p	hsa-miR-365a-3p	hsa-miR-365a-3p
hsa-miR-367-000555	hsa-miR-367	MIMAT0000719	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367	hsa-miR-367-3p	hsa-miR-367-3p	hsa-miR-367-3p	hsa-miR-367-3p	hsa-miR-367-3p
hsa-miR-369-3p-000557	hsa-miR-369-3p	MIMAT0000721	hsa-miR-369	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p	hsa-miR-369-3p
hsa-miR-369-5p-001021	hsa-miR-369-5p	MIMAT0001621	NA	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p	hsa-miR-369-5p
hsa-miR-370-002275	hsa-miR-370	MIMAT0000722	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370	hsa-miR-370-3p	hsa-miR-370-3p	hsa-miR-370-3p
hsa-miR-371-3p-002124	hsa-miR-371-3p	MIMAT0000723	hsa-miR-371	hsa-miR-371	hsa-miR-371	hsa-miR-371	hsa-miR-371	hsa-miR-371	hsa-miR-371	hsa-miR-371	hsa-miR-371	hsa-miR-371-3p	hsa-miR-371-3p	hsa-miR-371-3p	hsa-miR-371-3p	hsa-miR-371-3p	hsa-miR-371-3p	hsa-miR-371-3p	hsa-miR-371-3p	hsa-miR-371-3p	hsa-miR-371a-3p	hsa-miR-371a-3p	hsa-miR-371a-3p	hsa-miR-371a-3p	hsa-miR-371a-3p
hsa-miR-372-000560	hsa-miR-372	MIMAT0000724	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372	hsa-miR-372-3p	hsa-miR-372-3p	hsa-miR-372-3p
hsa-miR-373-000561	hsa-miR-373	MIMAT0000726	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373	hsa-miR-373-3p	hsa-miR-373-3p	hsa-miR-373-3p	hsa-miR-373-3p	hsa-miR-373-3p
hsa-miR-374-000563	hsa-miR-374	MIMAT0000727	hsa-miR-374	hsa-miR-374	hsa-miR-374	hsa-miR-374	hsa-miR-374	hsa-miR-374	hsa-miR-374	hsa-miR-374	hsa-miR-374	hsa-miR-374a	hsa-miR-374a	hsa-miR-374a	hsa-miR-374a	hsa-miR-374a	hsa-miR-374a	hsa-miR-374a	hsa-miR-374a	hsa-miR-374a	hsa-miR-374a-5p	hsa-miR-374a-5p	hsa-miR-374a-5p	hsa-miR-374a-5p	hsa-miR-374a-5p
hsa-miR-375-000564	hsa-miR-375	MIMAT0000728	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375	hsa-miR-375
hsa-miR-376a-000565	hsa-miR-376a	MIMAT0000729	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a	hsa-miR-376a-3p	hsa-miR-376a-3p	hsa-miR-376a-3p	hsa-miR-376a-3p	hsa-miR-376a-3p
hsa-miR-376b-001102	hsa-miR-376b	MIMAT0002172	NA	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b	hsa-miR-376b-3p	hsa-miR-376b-3p	hsa-miR-376b-3p	hsa-miR-376b-3p
hsa-miR-376c-002122	hsa-miR-376c	MIMAT0000720	hsa-miR-368	hsa-miR-368	hsa-miR-368	hsa-miR-368	hsa-miR-368	hsa-miR-368	hsa-miR-368	hsa-miR-368	hsa-miR-368	hsa-miR-376c	hsa-miR-376c	hsa-miR-376c	hsa-miR-376c	hsa-miR-376c	hsa-miR-376c	hsa-miR-376c	hsa-miR-376c	hsa-miR-376c	hsa-miR-376c	hsa-miR-376c-3p	hsa-miR-376c-3p	hsa-miR-376c-3p	hsa-miR-376c-3p
hsa-miR-377-000566	hsa-miR-377	MIMAT0000730	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377	hsa-miR-377-3p	hsa-miR-377-3p	hsa-miR-377-3p	hsa-miR-377-3p	hsa-miR-377-3p
hsa-miR-380-3p-000569	hsa-miR-380-3p	MIMAT0000735	hsa-miR-380-3p	hsa-miR-380-3p	hsa-miR-380-3p	hsa-miR-380-3p	hsa-miR-380-3p	hsa-miR-380-3p	hsa-miR-380-3p	hsa-miR-380-3p	hsa-miR-380-3p	hsa-miR-380	hsa-miR-380	hsa-miR-380	hsa-miR-380	hsa-miR-380	hsa-miR-380	hsa-miR-380	hsa-miR-380	hsa-miR-380	hsa-miR-380-3p	hsa-miR-380-3p	hsa-miR-380-3p	hsa-miR-380-3p	hsa-miR-380-3p
hsa-miR-381-000571	hsa-miR-381	MIMAT0000736	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381	hsa-miR-381-3p	hsa-miR-381-3p	hsa-miR-381-3p	hsa-miR-381-3p
hsa-miR-382-000572	hsa-miR-382	MIMAT0000737	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382	hsa-miR-382-5p	hsa-miR-382-5p	hsa-miR-382-5p	hsa-miR-382-5p	hsa-miR-382-5p
hsa-miR-383-000573	hsa-miR-383	MIMAT0000738	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383	hsa-miR-383-5p	hsa-miR-383-5p	hsa-miR-383-5p
hsa-miR-384-000574	hsa-miR-384	MIMAT0001075	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384	hsa-miR-384
hsa-miR-409-5p-002331	hsa-miR-409-5p	MIMAT0001638	NA	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p	hsa-miR-409-5p
hsa-miR-410-001274	hsa-miR-410	MIMAT0002171	NA	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410	hsa-miR-410-3p	hsa-miR-410-3p	hsa-miR-410-3p
hsa-miR-411-001610	hsa-miR-411	MIMAT0003329	NA	NA	NA	NA	hsa-miR-411	hsa-miR-411	hsa-miR-411	hsa-miR-411	hsa-miR-411	hsa-miR-411	hsa-miR-411	hsa-miR-411	hsa-miR-411	hsa-miR-411	hsa-miR-411	hsa-miR-411	hsa-miR-411	hsa-miR-411	hsa-miR-411-5p	hsa-miR-411-5p	hsa-miR-411-5p	hsa-miR-411-5p	hsa-miR-411-5p
hsa-miR-412-001023	hsa-miR-412	MIMAT0002170	NA	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412	hsa-miR-412-3p	hsa-miR-412-3p	hsa-miR-412-3p
hsa-miR-422a-002297	hsa-miR-422a	MIMAT0001339	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a	hsa-miR-422a
hsa-miR-423-5p-002340	hsa-miR-423-5p	MIMAT0004748	NA	NA	NA	NA	NA	NA	NA	NA	NA	hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p	hsa-miR-423-5p
hsa-miR-424-000604	hsa-miR-424	MIMAT0001341	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424	hsa-miR-424-5p	hsa-miR-424-5p	hsa-miR-424-5p	hsa-miR-424-5p	hsa-miR-424-5p
hsa-miR-425-5p-001516	hsa-miR-425-5p	MIMAT0003393	NA	NA	NA	NA	hsa-miR-425-5p	hsa-miR-425-5p	hsa-miR-425-5p	hsa-miR-425-5p	hsa-miR-425-5p	hsa-miR-425	hsa-miR-425	hsa-miR-425	hsa-miR-425	hsa-miR-425	hsa-miR-425	hsa-miR-425	hsa-miR-425	hsa-miR-425	hsa-miR-425-5p	hsa-miR-425-5p	hsa-miR-425-5p	hsa-miR-425-5p	hsa-miR-425-5p
hsa-miR-429-001024	hsa-miR-429	MIMAT0001536	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429	hsa-miR-429
hsa-miR-431-001979	hsa-miR-431	MIMAT0001625	NA	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431	hsa-miR-431-5p	hsa-miR-431-5p	hsa-miR-431-5p	hsa-miR-431-5p	hsa-miR-431-5p
hsa-miR-433-001028	hsa-miR-433	MIMAT0001627	NA	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433	hsa-miR-433-3p	hsa-miR-433-3p	hsa-miR-433-3p
hsa-miR-448-001029	hsa-miR-448	MIMAT0001532	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448	hsa-miR-448
hsa-miR-449-001030	hsa-miR-449	MIMAT0001541	hsa-miR-449	hsa-miR-449	hsa-miR-449	hsa-miR-449	hsa-miR-449	hsa-miR-449	hsa-miR-449	hsa-miR-449	hsa-miR-449	hsa-miR-449a	hsa-miR-449a	hsa-miR-449a	hsa-miR-449a	hsa-miR-449a	hsa-miR-449a	hsa-miR-449a	hsa-miR-449a	hsa-miR-449a	hsa-miR-449a	hsa-miR-449a	hsa-miR-449a	hsa-miR-449a	hsa-miR-449a
hsa-miR-449b-001608	hsa-miR-449b	MIMAT0003327	NA	NA	NA	NA	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b	hsa-miR-449b-5p	hsa-miR-449b-5p	hsa-miR-449b-5p	hsa-miR-449b-5p	hsa-miR-449b-5p
hsa-miR-450a-002303	hsa-miR-450a	MIMAT0001545	hsa-miR-450	hsa-miR-450	hsa-miR-450	hsa-miR-450	hsa-miR-450	hsa-miR-450	hsa-miR-450	hsa-miR-450	hsa-miR-450	hsa-miR-450a	hsa-miR-450a	hsa-miR-450a	hsa-miR-450a	hsa-miR-450a	hsa-miR-450a	hsa-miR-450a	hsa-miR-450a	hsa-miR-450a	hsa-miR-450a-5p	hsa-miR-450a-5p	hsa-miR-450a-5p	hsa-miR-450a-5p	hsa-miR-450a-5p
hsa-miR-450b-3p-002208	hsa-miR-450b-3p	MIMAT0004910	NA	NA	NA	NA	NA	NA	NA	NA	NA	hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p	hsa-miR-450b-3p
hsa-miR-450b-5p-002207	hsa-miR-450b-5p	MIMAT0004909	NA	NA	NA	NA	NA	NA	NA	NA	NA	hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p	hsa-miR-450b-5p
hsa-miR-452-002329	hsa-miR-452	MIMAT0001635	NA	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452	hsa-miR-452-5p	hsa-miR-452-5p	hsa-miR-452-5p	hsa-miR-452-5p	hsa-miR-452-5p
hsa-miR-453-002318	hsa-miR-453	MIMAT0001630	NA	hsa-miR-453	hsa-miR-453	hsa-miR-453	hsa-miR-453	hsa-miR-453	hsa-miR-453	hsa-miR-453	hsa-miR-453	hsa-miR-453	hsa-miR-453	hsa-miR-453	hsa-miR-453	hsa-miR-453	hsa-miR-453	hsa-miR-323b-5p	hsa-miR-323b-5p	hsa-miR-323b-5p	hsa-miR-323b-5p	hsa-miR-323b-5p	hsa-miR-323b-5p	hsa-miR-323b-5p	hsa-miR-323b-5p
hsa-miR-454-002323	hsa-miR-454	MIMAT0003885	NA	NA	NA	NA	NA	NA	hsa-miR-454-3p	hsa-miR-454-3p	hsa-miR-454-3p	hsa-miR-454	hsa-miR-454	hsa-miR-454	hsa-miR-454	hsa-miR-454	hsa-miR-454	hsa-miR-454	hsa-miR-454	hsa-miR-454	hsa-miR-454-3p	hsa-miR-454-3p	hsa-miR-454-3p	hsa-miR-454-3p	hsa-miR-454-3p
hsa-miR-455-001280	hsa-miR-455	MIMAT0003150	NA	NA	hsa-miR-455	hsa-miR-455	hsa-miR-455	hsa-miR-455	hsa-miR-455	hsa-miR-455	hsa-miR-455	hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p	hsa-miR-455-5p
hsa-miR-455-3p-002244	hsa-miR-455-3p	MIMAT0004784	NA	NA	NA	NA	NA	NA	NA	NA	NA	hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p	hsa-miR-455-3p
hsa-miR-483-5p-002338	hsa-miR-483-5p	MIMAT0004761	NA	NA	NA	NA	NA	NA	NA	NA	NA	hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p	hsa-miR-483-5p
hsa-miR-484-001821	hsa-miR-484	MIMAT0002174	NA	NA	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484	hsa-miR-484
hsa-miR-485-3p-001277	hsa-miR-485-3p	MIMAT0002176	NA	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p	hsa-miR-485-3p
hsa-miR-485-5p-001036	hsa-miR-485-5p	MIMAT0002175	NA	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p	hsa-miR-485-5p
hsa-miR-486-001278	hsa-miR-486	MIMAT0002177	NA	NA	hsa-miR-486	hsa-miR-486	hsa-miR-486	hsa-miR-486	hsa-miR-486	hsa-miR-486	hsa-miR-486	hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p	hsa-miR-486-5p
hsa-miR-486-3p-002093	hsa-miR-486-3p	MIMAT0004762	NA	NA	NA	NA	NA	NA	NA	NA	NA	hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p	hsa-miR-486-3p
hsa-miR-487a-001279	hsa-miR-487a	MIMAT0002178	NA	NA	hsa-miR-487	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a	hsa-miR-487a-3p	hsa-miR-487a-3p	hsa-miR-487a-3p
hsa-miR-487b-001285	hsa-miR-487b	MIMAT0003180	NA	NA	NA	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b	hsa-miR-487b-3p	hsa-miR-487b-3p	hsa-miR-487b-3p
hsa-miR-488-002357	hsa-miR-488	MIMAT0004763	NA	NA	NA	NA	NA	NA	NA	NA	NA	hsa-miR-488	hsa-miR-488	hsa-miR-488	hsa-miR-488	hsa-miR-488	hsa-miR-488	hsa-miR-488	hsa-miR-488	hsa-miR-488	hsa-miR-488-3p	hsa-miR-488-3p	hsa-miR-488-3p	hsa-miR-488-3p	hsa-miR-488-3p
hsa-miR-489-002358	hsa-miR-489	MIMAT0002805	NA	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489	hsa-miR-489-3p	hsa-miR-489-3p	hsa-miR-489-3p
hsa-miR-490-001037	hsa-miR-490	MIMAT0002806	NA	hsa-miR-490	hsa-miR-490	hsa-miR-490	hsa-miR-490	hsa-miR-490	hsa-miR-490	hsa-miR-490	hsa-miR-490	hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p	hsa-miR-490-3p
hsa-miR-491-3p-002360	hsa-miR-491-3p	MIMAT0004765	NA	NA	NA	NA	NA	NA	NA	NA	NA	hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p	hsa-miR-491-3p
